country,country_code,year,fertility_rate,inflation,unemployment_total,female_labor_force_participation,gdp_per_capita,marriage_rate,income_share_top10,wealth_share_top10,income_wealth_ratio,income_level,region_tag,country_group,marriage_rate_imputed,has_outlier
Australia,AUS,2000,1.756,4.45743705920869,6.288,54.618,26584.8191965725,5.9,0.3189,0.5649000000000001,0.5645246946362188,High income,Oceania,developed,original,False
Australia,AUS,2001,1.739,4.40712998561533,6.747,55.158,27687.7587444103,5.3,0.3171,0.5647,0.5615370993447848,High income,Oceania,developed,original,False
Australia,AUS,2002,1.756,2.98157117047457,6.375,55.355,29080.0439286946,5.4,0.3264,0.5663,0.5763729472011302,High income,Oceania,developed,original,False
Australia,AUS,2003,1.748,2.73259754838937,5.933,56.013,30167.241365541,5.348,0.3261,0.5663,0.5758431926540702,High income,Oceania,developed,original,False
Australia,AUS,2004,1.768,2.34325687131265,5.399,55.774,31814.504982852,5.5,0.3329,0.5673,0.5868147364710029,High income,Oceania,developed,original,False
Australia,AUS,2005,1.807,2.69182949622197,5.036,57.048,33089.7023501837,5.4,0.3369,0.5679000000000001,0.5932382461701002,High income,Oceania,developed,original,False
Australia,AUS,2006,1.908,3.55528696972984,4.785,57.582,34890.2248136693,5.5,0.3383,0.5682,0.5953889475536782,High income,Oceania,developed,original,False
Australia,AUS,2007,1.959,2.32761442623159,4.381,58.135,36708.1660067256,5.5,0.3414,0.5687,0.6003165113416564,High income,Oceania,developed,original,False
Australia,AUS,2008,1.984,4.35029726664093,4.242,58.603,37616.0112400482,5.5,0.3431,0.5696,0.6023525280898877,High income,Oceania,developed,original,False
Australia,AUS,2009,1.971,1.77112025681656,5.565,58.792,40434.4890899118,5.5,0.3512,0.5713,0.6147383161211273,High income,Oceania,developed,original,False
Australia,AUS,2010,1.928,2.9183370211222,5.214,58.676,39504.361082784,5.4,0.3487,0.5703,0.6114325793442048,High income,Oceania,developed,original,False
Australia,AUS,2011,1.926,3.30384784681081,5.083,58.931,42152.816179831,5.4,0.3515,0.5714,0.6151557577878893,High income,Oceania,developed,original,False
Australia,AUS,2012,1.92,1.76278299052228,5.225,58.833,43007.2697824131,5.4,0.3508,0.5722,0.6130723523243621,High income,Oceania,developed,original,False
Australia,AUS,2013,1.855,2.44988248109259,5.663,58.739,46123.4750962848,5.1,0.3482,0.5721,0.6086348540464953,High income,Oceania,developed,original,False
Australia,AUS,2014,1.826,2.48792932080492,6.078,58.704,47108.5906459966,5.2,0.3486,0.5729000000000001,0.6084831558736253,High income,Oceania,developed,original,False
Australia,AUS,2015,1.814,1.50836803138463,6.055,59.151,46464.5867627929,4.8,0.3448,0.5708,0.6040644709180099,High income,Oceania,developed,original,False
Australia,AUS,2016,1.752,1.27699365720306,5.711,59.381,47446.2103030951,4.9,0.3374,0.5688,0.5931786216596343,High income,Oceania,developed,original,False
Australia,AUS,2017,1.741,1.94864309065653,5.592,59.877,48564.8286592372,4.6,0.3436,0.5710000000000001,0.6017513134851138,High income,Oceania,developed,original,False
Australia,AUS,2018,1.74,1.91140002818579,5.345,60.628,50371.233830782,4.8,0.3376,0.5721,0.5901066247159588,High income,Oceania,developed,original,False
Australia,AUS,2019,1.657,1.610770929127,5.143,61.031,52885.8313816377,4.5,0.3291,0.5710000000000001,0.5763572679509632,High income,Oceania,developed,original,False
Australia,AUS,2020,1.581,0.846900734607273,6.394,60.136,54184.1614486854,3.1,0.3406,0.5712,0.5962885154061625,High income,Oceania,developed,original,False
Australia,AUS,2021,1.7,2.86391284709318,5.022,61.516,58327.4146842325,3.5,0.3541,0.5775,0.6131601731601732,High income,Oceania,developed,original,False
Australia,AUS,2022,1.63,6.59409658717841,3.728,62.524,66103.1797066957,4.89,0.3517,0.5771000000000001,0.6094264425576156,High income,Oceania,developed,original,False
Australia,AUS,2023,1.499,5.59701792296707,3.668,62.576,72272.7092136683,5.348,0.3516,0.5760000000000001,0.6104166666666666,High income,Oceania,developed,median,False
Australia,AUS,2024,1.481,3.16656665428797,3.942,62.647,72111.1844628126,5.348,0.3516,0.5770000000000001,0.6093587521663778,High income,Oceania,developed,median,False
Austria,AUT,2000,1.36,2.3448628535728,4.687,48.991,29220.9853040358,4.9,0.3224,0.6076,0.5306122448979592,High income,Western Europe,developed,original,False
Austria,AUT,2001,1.33,2.65000077279529,4.007,48.861,29553.2333509767,4.3,0.3161,0.607,0.5207578253706755,High income,Western Europe,developed,original,False
Austria,AUT,2002,1.39,1.81035787764128,4.852,50.127,30952.1708232398,4.5,0.3216,0.6075,0.5293827160493827,High income,Western Europe,developed,original,False
Austria,AUT,2003,1.38,1.35555370896445,4.779,50.232,31958.8592412083,4.6,0.3217,0.6081,0.529024831442197,High income,Western Europe,developed,original,False
Austria,AUT,2004,1.42,2.06120618032869,5.969,50.059,33518.5160023521,4.7,0.3261,0.6112000000000001,0.5335405759162303,High income,Western Europe,developed,original,False
Austria,AUT,2005,1.41,2.29913785639285,5.682,50.866,34776.6699535218,4.8,0.3205,0.6119,0.5237783951626083,High income,Western Europe,developed,original,False
Austria,AUT,2006,1.41,1.44154851119016,5.32,51.541,37388.0795380765,4.5,0.3284,0.6117,0.5368644760503515,High income,Western Europe,developed,original,False
Austria,AUT,2007,1.38,2.16855528800756,4.909,52.379,39192.372452379,4.3,0.3267,0.6117,0.5340853359489945,High income,Western Europe,developed,original,False
Austria,AUT,2008,1.42,3.21595033239879,4.198,52.872,41046.7900352112,4.2,0.3253,0.613,0.530668841761827,High income,Western Europe,developed,original,False
Austria,AUT,2009,1.39,0.506308827696504,5.371,53.539,40686.6736355681,4.3,0.3131,0.611,0.5124386252045826,High income,Western Europe,developed,original,False
Austria,AUT,2010,1.44,1.81353438995061,4.883,53.648,41735.4574798744,4.5,0.3257,0.6124,0.5318419333768778,High income,Western Europe,developed,original,False
Austria,AUT,2011,1.43,3.2865791487538,4.637,53.942,44171.5618687028,4.3,0.3223,0.6082000000000001,0.5299243669845445,High income,Western Europe,developed,original,False
Austria,AUT,2012,1.44,2.48567562177014,4.909,54.446,46156.4832073037,4.6,0.3179,0.6069,0.5238095238095238,High income,Western Europe,developed,original,False
Austria,AUT,2013,1.44,2.00015616900597,5.367,54.711,47519.8522796571,4.3,0.3155,0.6047,0.5217463204894989,High income,Western Europe,developed,original,False
Austria,AUT,2014,1.46,1.60581182954473,5.674,54.763,48355.4977624407,4.4,0.3115,0.6014,0.5179580977718656,High income,Western Europe,developed,original,False
Austria,AUT,2015,1.49,0.896563335260319,5.802,54.827,49549.3162311441,5.1,0.3126,0.6058,0.5160118851105975,High income,Western Europe,developed,original,False
Austria,AUT,2016,1.53,0.891591752655362,6.064,55.349,52397.8635176674,5.1,0.3267,0.6057,0.5393759286775631,High income,Western Europe,developed,original,False
Austria,AUT,2017,1.52,2.08126911385586,5.561,55.351,53869.8321183556,5.1,0.3158,0.611,0.5168576104746319,High income,Western Europe,developed,original,False
Austria,AUT,2018,1.47,1.99837981429548,4.933,55.426,56636.4953030542,5.3,0.3164,0.6137,0.515561349193417,High income,Western Europe,developed,original,False
Austria,AUT,2019,1.46,1.53089564152643,4.56,55.514,60354.9279422121,5.2,0.3133,0.6132000000000001,0.5109262883235486,High income,Western Europe,developed,original,False
Austria,AUT,2020,1.44,1.38191063351853,5.201,55.224,58523.0337816246,4.4,0.3133,0.6118,0.5120954560313828,High income,Western Europe,developed,original,False
Austria,AUT,2021,1.48,2.7666666666667,6.459,55.35,62968.9422311892,4.59,0.3129,0.6152000000000001,0.5086150845253575,High income,Western Europe,developed,original,False
Austria,AUT,2022,1.41,8.54686993188457,4.992,55.688,72065.4974270106,5.24,0.3133,0.6146,0.5097624471200781,High income,Western Europe,developed,original,False
Austria,AUT,2023,1.32,7.81413417002831,5.264,55.812,73544.6567230487,4.59,0.3175,0.6164000000000001,0.5150876054510058,High income,Western Europe,developed,median,False
Austria,AUT,2024,1.31,2.93791574279375,5.2,55.408,73911.439663136,4.59,0.3175,0.6171,0.5145033219899531,High income,Western Europe,developed,median,False
Belgium,BEL,2000,1.67,2.544517761909,6.586,43.616,27794.0511630862,4.4,0.326,0.5264,0.6193009118541034,High income,Western Europe,developed,original,False
Belgium,BEL,2001,1.67,2.46925823086082,6.178,41.787,28793.5142643594,4.1,0.3218,0.5262,0.6115545419992398,High income,Western Europe,developed,original,False
Belgium,BEL,2002,1.65,1.6452143617536,6.91,42.506,30282.2886450283,3.9,0.3157,0.5256000000000001,0.6006468797564687,High income,Western Europe,developed,original,False
Belgium,BEL,2003,1.67,1.58896399970371,7.68,42.881,30930.6283334744,4.0,0.3154,0.5255000000000001,0.6001902949571836,High income,Western Europe,developed,original,False
Belgium,BEL,2004,1.72,2.09728311239315,7.363,44.185,32059.6878637798,4.2,0.3221,0.5261,0.6122410188177152,High income,Western Europe,developed,original,False
Belgium,BEL,2005,1.76,2.78143263670029,8.44,45.687,33177.8909458158,4.1,0.3197,0.526,0.6077946768060836,High income,Western Europe,developed,original,False
Belgium,BEL,2006,1.8,1.79120770070453,8.246,45.818,35251.4450697593,4.2,0.3241,0.5273,0.6146406220367913,High income,Western Europe,developed,original,False
Belgium,BEL,2007,1.82,1.82305630026809,7.459,46.59,36798.1918857259,4.3,0.3334,0.5286000000000001,0.6307226636398031,High income,Western Europe,developed,original,False
Belgium,BEL,2008,1.85,4.48944420508404,6.976,46.928,37883.3319417819,4.3,0.3172,0.5268,0.6021260440394836,High income,Western Europe,developed,original,False
Belgium,BEL,2009,1.84,-0.0531456741254176,7.908,46.979,37905.658312629,4.0,0.3094,0.5254,0.5888846593071946,High income,Western Europe,developed,original,False
Belgium,BEL,2010,1.86,2.18929920422458,8.293,47.774,39839.9772772918,3.9,0.3135,0.5264,0.5955547112462006,High income,Western Europe,developed,original,False
Belgium,BEL,2011,1.81,3.5320821072274,7.14,47.103,41244.8495035213,3.7,0.3114,0.5224,0.5960949464012252,High income,Western Europe,developed,original,False
Belgium,BEL,2012,1.8,2.83966343445899,7.542,47.155,42483.5250666788,3.8,0.3138,0.5103,0.6149323927101705,High income,Western Europe,developed,original,False
Belgium,BEL,2013,1.76,1.11309594027539,8.425,47.804,43864.1204196838,3.4,0.3163,0.5047,0.6267089360015851,High income,Western Europe,developed,original,False
Belgium,BEL,2014,1.74,0.340002833356921,8.523,48.125,45147.6429534057,3.6,0.3187,0.5084000000000001,0.6268686073957512,High income,Western Europe,developed,original,False
Belgium,BEL,2015,1.7,0.561429152790157,8.482,48.045,46071.914889496,4.0,0.3183,0.5162,0.6166214645486247,High income,Western Europe,developed,original,False
Belgium,BEL,2016,1.68,1.97385264653162,7.83,47.81,48414.5518065681,3.9,0.3212,0.5178,0.6203167246040941,High income,Western Europe,developed,original,False
Belgium,BEL,2017,1.65,2.12597086002616,7.09,47.974,50256.0631772784,3.9,0.3183,0.5208,0.6111751152073733,High income,Western Europe,developed,original,False
Belgium,BEL,2018,1.62,2.05316499865177,5.941,48.769,52466.7330784599,3.9,0.3283,0.5219,0.6290477102893274,High income,Western Europe,developed,original,False
Belgium,BEL,2019,1.6,1.43681956996438,5.364,49.097,56712.469571978,3.9,0.3295,0.5227,0.630380715515592,High income,Western Europe,developed,original,False
Belgium,BEL,2020,1.55,0.740791812220343,5.545,48.659,56120.0958420466,2.8,0.3295,0.5221,0.6311051522696801,High income,Western Europe,developed,original,False
Belgium,BEL,2021,1.6,2.44024851144084,6.248,49.367,60669.2137746531,3.5,0.3294,0.5227,0.6301894011861489,High income,Western Europe,developed,original,False
Belgium,BEL,2022,1.53,9.597511728725,5.57,50.029,69128.1388883843,4.2,0.3291,0.5223,0.630097645031591,High income,Western Europe,developed,original,False
Belgium,BEL,2023,1.47,4.04901077613941,5.547,49.834,71946.1447190292,3.9,0.3293,0.523,0.6296367112810707,High income,Western Europe,developed,median,False
Belgium,BEL,2024,1.44,3.14349136500041,5.7,49.97,73514.4831045258,3.9,0.3293,0.526,0.6260456273764258,High income,Western Europe,developed,median,False
Canada,CAN,2000,1.51,2.71943995691976,6.829,58.669,29347.7879802126,5.1,0.3648,0.5826,0.6261585993820803,High income,North America,developed,original,False
Canada,CAN,2001,1.54,2.52512013979905,7.219,58.978,30241.0326530827,4.7,0.365,0.5845,0.6244653550042771,High income,North America,developed,original,False
Canada,CAN,2002,1.52,2.25839440940855,7.665,60.159,30963.9218856684,4.7,0.366,0.5858,0.6247866165926937,High income,North America,developed,original,False
Canada,CAN,2003,1.55,2.75856321360112,7.574,61.174,32349.8829577427,4.7,0.3695,0.5872,0.6292574931880108,High income,North America,developed,original,False
Canada,CAN,2004,1.56,1.85725871857256,7.185,61.292,33929.2936832786,4.6,0.3756,0.5910000000000001,0.6355329949238577,High income,North America,developed,original,False
Canada,CAN,2005,1.58,2.21355203439767,6.758,60.992,36328.378994377,4.6,0.3807,0.5928,0.6422064777327935,High income,North America,developed,original,False
Canada,CAN,2006,1.63,2.00202539534161,6.484,61.268,38122.648589039,4.6,0.3838,0.5947,0.645367412140575,High income,North America,developed,original,False
Canada,CAN,2007,1.67,2.13838399266837,6.156,61.769,39572.9304428478,4.5,0.3838,0.5963,0.6436357538151936,High income,North America,developed,original,False
Canada,CAN,2008,1.7,2.37027067444298,6.284,61.9,40376.0882836384,4.4,0.3758,0.5963,0.6302196880764716,High income,North America,developed,original,False
Canada,CAN,2009,1.69,0.299466803009299,8.46,61.889,38863.2485560636,4.4,0.3588,0.5943,0.6037354871277132,High income,North America,developed,original,False
Canada,CAN,2010,1.65,1.77687154092627,8.178,61.867,40103.1114399673,4.3,0.3652,0.5975,0.6112133891213389,High income,North America,developed,original,False
Canada,CAN,2011,1.63,2.91213508872351,7.637,61.643,41666.8374590278,4.2,0.3647,0.599,0.608848080133556,High income,North America,developed,original,False
Canada,CAN,2012,1.63,1.51567823124516,7.392,61.73,42291.9729357094,4.2,0.3582,0.599,0.5979966611018365,High income,North America,developed,original,False
Canada,CAN,2013,1.61,0.938291897815316,7.143,61.816,44301.0562529133,4.1,0.3587,0.6007,0.5971366738804728,High income,North America,developed,original,False
Canada,CAN,2014,1.61,1.90663590717861,7.023,61.204,45758.1007297304,4.2,0.3565,0.601,0.5931780366056573,High income,North America,developed,original,False
Canada,CAN,2015,1.6,1.12524136094277,6.945,60.969,44668.0912814303,4.2,0.3539,0.6016,0.5882646276595744,High income,North America,developed,original,False
Canada,CAN,2016,1.59,1.42875954701085,7.038,60.879,46470.6466391109,4.1,0.3413,0.599,0.5697829716193656,High income,North America,developed,original,False
Canada,CAN,2017,1.55,1.59688412852976,6.426,61.072,48317.3874457163,4.1,0.3481,0.6006,0.5795870795870796,High income,North America,developed,original,False
Canada,CAN,2018,1.51,2.26822567248103,5.837,60.965,49982.5999118346,4.1,0.346,0.5999,0.5767627937989664,High income,North America,developed,original,False
Canada,CAN,2019,1.47,1.94926902411592,5.69,61.253,50498.9731057448,3.9,0.3438,0.5995,0.5734778982485405,High income,North America,developed,original,False
Canada,CAN,2020,1.41,0.716999632307827,9.657,59.379,48590.6832121939,2.6,0.3518,0.6022000000000001,0.584191298571903,High income,North America,developed,original,False
Canada,CAN,2021,1.44,3.39519318527527,7.527,60.634,56995.1176781351,4.3,0.3622,0.6065,0.5971970321516901,High income,North America,developed,median,False
Canada,CAN,2022,1.34,6.80280115341612,5.279,61.049,63944.1050100687,4.3,0.3678,0.5979,0.6151530356246865,High income,North America,developed,median,False
Canada,CAN,2023,1.27,3.87900159788425,5.415,61.134,64219.3173928637,4.3,0.3678,0.5979,0.6151530356246865,High income,North America,developed,median,False
Canada,CAN,2024,1.25,2.38158383281173,6.351,60.415,64610.3795171971,4.3,0.3678,0.5979,0.6151530356246865,High income,North America,developed,median,False
Switzerland,CHE,2000,1.5,1.55852919679008,2.658,57.595,36703.066164663,5.5,0.3242,0.5952000000000001,0.5446908602150536,High income,Western Europe,developed,original,False
Switzerland,CHE,2001,1.38,0.989020329832545,2.49,58.797,37818.9074517374,5.0,0.3141,0.5953,0.5276331261548798,High income,Western Europe,developed,original,False
Switzerland,CHE,2002,1.39,0.642711506543277,2.924,59.358,38704.9584597242,5.5,0.3049,0.5917,0.51529491296265,High income,Western Europe,developed,original,False
Switzerland,CHE,2003,1.39,0.638272930887189,4.117,59.497,38732.3849513213,5.5,0.3242,0.5855,0.5537147736976943,High income,Western Europe,developed,original,False
Switzerland,CHE,2004,1.42,0.802908730955226,4.316,59.132,40171.1805746279,5.3,0.3303,0.5807,0.5687962803513001,High income,Western Europe,developed,original,False
Switzerland,CHE,2005,1.42,1.17195420333702,4.437,59.35,41524.8488732932,5.4,0.3429,0.5862,0.5849539406345956,High income,Western Europe,developed,original,False
Switzerland,CHE,2006,1.44,1.05950928324804,3.995,59.755,46265.6820679271,5.3,0.3502,0.5894,0.5941635561588056,High income,Western Europe,developed,original,False
Switzerland,CHE,2007,1.46,0.732350603122236,3.641,59.956,50927.630857566,5.3,0.3362,0.5988,0.5614562458249833,High income,Western Europe,developed,original,False
Switzerland,CHE,2008,1.48,2.42604117060157,3.35,61.329,53808.7841127066,5.4,0.3108,0.5964,0.5211267605633803,High income,Western Europe,developed,original,False
Switzerland,CHE,2009,1.5,-0.480481936423304,4.109,61.646,52998.98846352,5.4,0.3175,0.5935,0.5349620893007582,High income,Western Europe,developed,original,False
Switzerland,CHE,2010,1.52,0.688238707219974,4.808,60.021,54426.2828092789,5.5,0.339,0.5974,0.5674589889521259,High income,Western Europe,developed,original,False
Switzerland,CHE,2011,1.52,0.2313492076509,4.409,60.613,57493.5810559211,5.3,0.3398,0.5971000000000001,0.56908390554346,High income,Western Europe,developed,original,False
Switzerland,CHE,2012,1.52,-0.692552018105163,4.491,60.903,59440.9158607666,5.3,0.3299,0.6011000000000001,0.5488271502245883,High income,Western Europe,developed,original,False
Switzerland,CHE,2013,1.52,-0.217323155115672,4.747,61.21,61656.4661708516,4.9,0.3311,0.6089,0.5437674494990967,High income,Western Europe,developed,original,False
Switzerland,CHE,2014,1.54,-0.0132025387515945,4.826,61.988,63417.0438110319,5.1,0.3289,0.6177,0.5324591225514004,High income,Western Europe,developed,original,False
Switzerland,CHE,2015,1.54,-1.14390867228178,4.801,62.36,65265.04573356,5.0,0.3272,0.6229,0.5252849574570557,High income,Western Europe,developed,original,False
Switzerland,CHE,2016,1.54,-0.434618664285814,4.918,62.934,67350.7518747757,5.0,0.3255,0.6251,0.5207166853303472,High income,Western Europe,developed,original,False
Switzerland,CHE,2017,1.52,0.533787839825876,4.797,62.705,68193.5055940262,4.8,0.3215,0.6286,0.5114540248170537,High income,Western Europe,developed,original,False
Switzerland,CHE,2018,1.52,0.936335464113572,4.713,63.007,70688.8187491194,4.8,0.3124,0.6288,0.4968193384223918,High income,Western Europe,developed,original,False
Switzerland,CHE,2019,1.48,0.362886179940674,4.394,63.079,73732.2353322093,4.5,0.3084,0.6252,0.4932821497120921,High income,Western Europe,developed,original,False
Switzerland,CHE,2020,1.46,-0.725874933313402,4.817,62.636,72997.8239503282,4.1,0.3084,0.6219,0.4958996623251326,High income,Western Europe,developed,original,False
Switzerland,CHE,2021,1.52,0.581814168489855,5.013,62.631,81001.4111206118,4.2,0.3104,0.6254000000000001,0.496322353693636,High income,Western Europe,developed,original,False
Switzerland,CHE,2022,1.39,2.83502798644451,4.122,61.931,94421.4576550424,4.7,0.3201,0.628,0.5097133757961784,High income,Western Europe,developed,original,True
Switzerland,CHE,2023,1.33,2.13540088016386,4.043,62.375,95141.5960943632,5.3,0.3146,0.6277,0.5011948382985503,High income,Western Europe,developed,median,True
Switzerland,CHE,2024,1.29,1.06234041976594,4.343,62.53,96497.6947971323,5.3,0.3146,0.6279,0.5010351966873706,High income,Western Europe,developed,median,True
Chile,CHL,2000,2.046,3.84327295706565,10.491,37.7,9375.65991088758,4.4,0.6273000000000001,0.7238,0.8666758773141753,High income,Latin America,transition,original,False
Chile,CHL,2001,2.007,3.56910053001466,10.39,36.726,9775.51016241925,4.1,0.6188,0.7229,0.855996680038733,High income,Latin America,transition,original,False
Chile,CHL,2002,1.934,2.48939816650705,10.168,36.448,10132.9107703924,3.9,0.6102000000000001,0.7216,0.8456208425720622,High income,Latin America,transition,original,False
Chile,CHL,2003,1.885,2.8101787574361,9.765,37.8,10708.3644963118,3.6,0.6016,0.7194,0.8362524325827078,High income,Latin America,transition,original,False
