model,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,feature_set,n_numeric_features,learning_rate,max_depth,n_estimators,subsample
gradient_boosting,0.11064526836504811,0.012264966263334343,0.8414051360453945,0.028552466482163114,0.48046161660229614,0.151908602395133,0.11871379040196743,-1.1154584152018052,0.3047253285251635,0.2633306177359442,core,5,,,,
random_forest,0.09779578465746666,0.014042026925883858,0.8744473951219576,0.03274477897450091,0.4138620955574297,0.1613516654270028,0.11491197452377364,-1.178255145131585,0.30921509153126486,0.2646105558942011,core,5,,,,
linear_regression,0.2111433678072668,0.011634564792059703,0.42607099610911847,0.029269343807781584,0.33719993632167833,0.17157927148826418,0.13404696618397183,-1.2070978714270697,0.31125554965978425,0.22370045132934804,core,5,,,,
gradient_boosting_tuned,0.10100506684330497,0.012876338386324262,0.8676732727480253,0.027944845459713222,0.5669199917230932,0.13869398192056254,0.10750556976365609,-0.756556454966294,0.27767537294604494,0.23028197884597784,core_lagged,10,0.05,3.0,500.0,0.8
gradient_boosting,0.10543302798649004,0.011354764135963116,0.8560371121450456,0.024667724814307894,0.5513817316544642,0.14116012235062794,0.11200220712104379,-0.8405471428014455,0.2842364566453317,0.24174652441990943,core_lagged,10,,,,
random_forest,0.0992339838551311,0.01110097721056048,0.8715452536962005,0.027367711157506098,0.45438107975618935,0.15567477965147,0.11568453797516462,-0.9343255003116124,0.29138761329262547,0.2512009173236214,core_lagged,10,,,,
linear_regression,0.20903302990089417,0.010518409571925265,0.43744137374759734,0.02335142803417639,0.2680943873320566,0.180302225603402,0.1431236637841101,-0.6695503443081521,0.2707111023829666,0.19174487264815385,core_lagged,10,,,,
gradient_boosting,0.1759607135609647,0.016948147939108812,0.5992415336679395,0.0671916758580362,0.4043374051751275,0.16265735777731924,0.12726123416232027,-0.5362172851868261,0.25967648946170635,0.21668957777334608,demeaned_lagged,10,,,,
random_forest,0.16020747313328382,0.015291459687709513,0.6690625487762494,0.04426715835107408,0.40212171308610745,0.1629595960757,0.12480657031714203,-0.6245241667235177,0.2670357428953252,0.21748157239322466,demeaned_lagged,10,,,,
linear_regression,0.23203539205129867,0.010420837649261046,0.30631072989043906,0.031983291183770135,0.12811854920774368,0.19678965659628928,0.1528326333900588,-0.9688451997059138,0.2939761467856761,0.25309510209915076,demeaned_lagged,10,,,,
