feature,vif,feature_set
female_labor_force_participation,26.524742640653717,core
gdp_per_capita,14.210520561489789,core
marriage_rate,13.3400275430724,core
unemployment_total,4.238003940616944,core
inflation,2.553712453677261,core
female_labor_force_participation,793.1817647130638,core_lagged
female_labor_force_participation_lag5,772.8782403083239,core_lagged
marriage_rate_lag2,226.23355337997594,core_lagged
marriage_rate,225.42001357753531,core_lagged
gdp_per_capita,141.27272490303076,core_lagged
gdp_per_capita_lag5,118.71109314932559,core_lagged
unemployment_total,23.807975564883332,core_lagged
unemployment_total_lag2,23.046996226328936,core_lagged
inflation,3.0346156086588794,core_lagged
inflation_lag4,2.275552445724274,core_lagged
gdp_per_capita_dm,4.871050621089961,demeaned_lagged
gdp_per_capita_lag5_dm,4.625969769004476,demeaned_lagged
unemployment_total_dm,3.0560406501388804,demeaned_lagged
marriage_rate_dm,2.5537979822438355,demeaned_lagged
unemployment_total_lag2_dm,2.358751429842495,demeaned_lagged
marriage_rate_lag2_dm,2.3374654941852397,demeaned_lagged
female_labor_force_participation_lag5_dm,1.7459606080084777,demeaned_lagged
female_labor_force_participation_dm,1.7182278573039576,demeaned_lagged
inflation_dm,1.2651262553408373,demeaned_lagged
inflation_lag4_dm,1.2088941828865107,demeaned_lagged
