country,country_code,year,homeownership_rate
Australia,AUS,2010,64.44
Australia,AUS,2011,62.73
Australia,AUS,2012,62.86
Australia,AUS,2013,62.39
Australia,AUS,2014,62.81
Australia,AUS,2015,63.53
Australia,AUS,2016,62.98
Australia,AUS,2017,62.79
Australia,AUS,2018,62.43
Australia,AUS,2019,62.69
Australia,AUS,2020,62.95
Australia,AUS,2021,62.66
Austria,AUT,2010,50.41
Austria,AUT,2011,44.68
Austria,AUT,2012,49.6
Austria,AUT,2013,49.95
Austria,AUT,2014,49.72
Austria,AUT,2015,48.87
Austria,AUT,2016,47.86
Austria,AUT,2017,47.42
Austria,AUT,2018,47.86
Austria,AUT,2019,47.79
Austria,AUT,2020,48.36
Austria,AUT,2021,47.58
Austria,AUT,2022,45.22
Austria,AUT,2023,47.52
Austria,AUT,2024,47.88
Belgium,BEL,2010,65.65
Belgium,BEL,2011,66.37
Belgium,BEL,2012,67.27
Belgium,BEL,2013,66.73
Belgium,BEL,2014,66.11
Belgium,BEL,2015,65.9
Belgium,BEL,2016,66.27
Belgium,BEL,2017,67.86
Belgium,BEL,2018,67.25
Belgium,BEL,2019,66.32
Belgium,BEL,2020,66.02
Belgium,BEL,2021,66.03
Belgium,BEL,2022,67.04
Belgium,BEL,2023,66.49
Belgium,BEL,2024,65.82
Bulgaria,BGR,2010,85.98
Bulgaria,BGR,2011,86.07
Bulgaria,BGR,2012,86.21
Bulgaria,BGR,2013,84.83
Bulgaria,BGR,2014,83.56
Bulgaria,BGR,2015,82.13
Bulgaria,BGR,2016,82.11
Bulgaria,BGR,2017,82.47
Bulgaria,BGR,2018,83.13
Bulgaria,BGR,2019,83.81
Bulgaria,BGR,2020,84.37
Bulgaria,BGR,2021,85.17
Bulgaria,BGR,2022,85.3
Bulgaria,BGR,2023,85.94
Bulgaria,BGR,2024,85.25
Canada,CAN,2010,69.47
Canada,CAN,2011,69.27
Canada,CAN,2012,69.61
Canada,CAN,2013,69.11
Canada,CAN,2014,69.78
Canada,CAN,2015,69.05
Canada,CAN,2016,68.14
Canada,CAN,2017,68.76
Canada,CAN,2018,69.16
Canada,CAN,2019,69.58
Canada,CAN,2020,68.13
Canada,CAN,2021,68.12
Canada,CAN,2022,68.67
Switzerland,CHE,2010,39.56
Switzerland,CHE,2011,38.87
Switzerland,CHE,2012,40.16
Switzerland,CHE,2013,39.78
Switzerland,CHE,2014,40.27
Switzerland,CHE,2015,38.4
Switzerland,CHE,2016,37.35
Switzerland,CHE,2018,37.97
Switzerland,CHE,2019,37.44
Switzerland,CHE,2020,37.96
Switzerland,CHE,2021,37.54
Switzerland,CHE,2022,38.07
Switzerland,CHE,2023,38.2
Chile,CHL,2011,65.47
Chile,CHL,2013,64.61
Chile,CHL,2015,63.63
Chile,CHL,2017,60.39
Chile,CHL,2020,61.77
Chile,CHL,2022,57.02
Colombia,COL,2010,48.29
Colombia,COL,2011,47.77
Colombia,COL,2012,43.31
Colombia,COL,2013,43.38
Colombia,COL,2014,41.44
Colombia,COL,2015,40.51
