country,country_code,year,income_share_top10,wealth_share_top10,income_wealth_ratio
Australia,AUS,2000,0.3189,0.5649000000000001,0.5645246946362188
Australia,AUS,2001,0.3171,0.5647,0.5615370993447848
Australia,AUS,2002,0.3264,0.5663,0.5763729472011302
Australia,AUS,2003,0.3261,0.5663,0.5758431926540702
Australia,AUS,2004,0.3329,0.5673,0.5868147364710029
Australia,AUS,2005,0.3369,0.5679000000000001,0.5932382461701002
Australia,AUS,2006,0.3383,0.5682,0.5953889475536782
Australia,AUS,2007,0.3414,0.5687,0.6003165113416564
Australia,AUS,2008,0.3431,0.5696,0.6023525280898877
Australia,AUS,2009,0.3512,0.5713,0.6147383161211273
Australia,AUS,2010,0.3487,0.5703,0.6114325793442048
Australia,AUS,2011,0.3515,0.5714,0.6151557577878893
Australia,AUS,2012,0.3508,0.5722,0.6130723523243621
Australia,AUS,2013,0.3482,0.5721,0.6086348540464953
Australia,AUS,2014,0.3486,0.5729000000000001,0.6084831558736253
Australia,AUS,2015,0.3448,0.5708,0.6040644709180099
Australia,AUS,2016,0.3374,0.5688,0.5931786216596343
Australia,AUS,2017,0.3436,0.5710000000000001,0.6017513134851138
Australia,AUS,2018,0.3376,0.5721,0.5901066247159588
Australia,AUS,2019,0.3291,0.5710000000000001,0.5763572679509632
Australia,AUS,2020,0.3406,0.5712,0.5962885154061625
Australia,AUS,2021,0.3541,0.5775,0.6131601731601732
Australia,AUS,2022,0.3517,0.5771000000000001,0.6094264425576156
Australia,AUS,2023,0.3516,0.5760000000000001,0.6104166666666666
Australia,AUS,2024,0.3516,0.5770000000000001,0.6093587521663778
Austria,AUT,2000,0.3224,0.6076,0.5306122448979592
Austria,AUT,2001,0.3161,0.607,0.5207578253706755
Austria,AUT,2002,0.3216,0.6075,0.5293827160493827
Austria,AUT,2003,0.3217,0.6081,0.529024831442197
Austria,AUT,2004,0.3261,0.6112000000000001,0.5335405759162303
Austria,AUT,2005,0.3205,0.6119,0.5237783951626083
Austria,AUT,2006,0.3284,0.6117,0.5368644760503515
Austria,AUT,2007,0.3267,0.6117,0.5340853359489945
Austria,AUT,2008,0.3253,0.613,0.530668841761827
Austria,AUT,2009,0.3131,0.611,0.5124386252045826
Austria,AUT,2010,0.3257,0.6124,0.5318419333768778
Austria,AUT,2011,0.3223,0.6082000000000001,0.5299243669845445
Austria,AUT,2012,0.3179,0.6069,0.5238095238095238
Austria,AUT,2013,0.3155,0.6047,0.5217463204894989
Austria,AUT,2014,0.3115,0.6014,0.5179580977718656
Austria,AUT,2015,0.3126,0.6058,0.5160118851105975
Austria,AUT,2016,0.3267,0.6057,0.5393759286775631
Austria,AUT,2017,0.3158,0.611,0.5168576104746319
Austria,AUT,2018,0.3164,0.6137,0.515561349193417
Austria,AUT,2019,0.3133,0.6132000000000001,0.5109262883235486
Austria,AUT,2020,0.3133,0.6118,0.5120954560313828
Austria,AUT,2021,0.3129,0.6152000000000001,0.5086150845253575
Austria,AUT,2022,0.3133,0.6146,0.5097624471200781
Austria,AUT,2023,0.3175,0.6164000000000001,0.5150876054510058
Austria,AUT,2024,0.3175,0.6171,0.5145033219899531
Belgium,BEL,2000,0.326,0.5264,0.6193009118541034
Belgium,BEL,2001,0.3218,0.5262,0.6115545419992398
Belgium,BEL,2002,0.3157,0.5256000000000001,0.6006468797564687
Belgium,BEL,2003,0.3154,0.5255000000000001,0.6001902949571836
Belgium,BEL,2004,0.3221,0.5261,0.6122410188177152
Belgium,BEL,2005,0.3197,0.526,0.6077946768060836
Belgium,BEL,2006,0.3241,0.5273,0.6146406220367913
Belgium,BEL,2007,0.3334,0.5286000000000001,0.6307226636398031
Belgium,BEL,2008,0.3172,0.5268,0.6021260440394836
Belgium,BEL,2009,0.3094,0.5254,0.5888846593071946
Belgium,BEL,2010,0.3135,0.5264,0.5955547112462006
Belgium,BEL,2011,0.3114,0.5224,0.5960949464012252
Belgium,BEL,2012,0.3138,0.5103,0.6149323927101705
Belgium,BEL,2013,0.3163,0.5047,0.6267089360015851
Belgium,BEL,2014,0.3187,0.5084000000000001,0.6268686073957512
Belgium,BEL,2015,0.3183,0.5162,0.6166214645486247
Belgium,BEL,2016,0.3212,0.5178,0.6203167246040941
Belgium,BEL,2017,0.3183,0.5208,0.6111751152073733
Belgium,BEL,2018,0.3283,0.5219,0.6290477102893274
Belgium,BEL,2019,0.3295,0.5227,0.630380715515592
Belgium,BEL,2020,0.3295,0.5221,0.6311051522696801
Belgium,BEL,2021,0.3294,0.5227,0.6301894011861489
Belgium,BEL,2022,0.3291,0.5223,0.630097645031591
Belgium,BEL,2023,0.3293,0.523,0.6296367112810707
Belgium,BEL,2024,0.3293,0.526,0.6260456273764258
Canada,CAN,2000,0.3648,0.5826,0.6261585993820803
Canada,CAN,2001,0.365,0.5845,0.6244653550042771
Canada,CAN,2002,0.366,0.5858,0.6247866165926937
Canada,CAN,2003,0.3695,0.5872,0.6292574931880108
Canada,CAN,2004,0.3756,0.5910000000000001,0.6355329949238577
Canada,CAN,2005,0.3807,0.5928,0.6422064777327935
Canada,CAN,2006,0.3838,0.5947,0.645367412140575
Canada,CAN,2007,0.3838,0.5963,0.6436357538151936
Canada,CAN,2008,0.3758,0.5963,0.6302196880764716
Canada,CAN,2009,0.3588,0.5943,0.6037354871277132
Canada,CAN,2010,0.3652,0.5975,0.6112133891213389
Canada,CAN,2011,0.3647,0.599,0.608848080133556
Canada,CAN,2012,0.3582,0.599,0.5979966611018365
Canada,CAN,2013,0.3587,0.6007,0.5971366738804728
Canada,CAN,2014,0.3565,0.601,0.5931780366056573
Canada,CAN,2015,0.3539,0.6016,0.5882646276595744
Canada,CAN,2016,0.3413,0.599,0.5697829716193656
Canada,CAN,2017,0.3481,0.6006,0.5795870795870796
Canada,CAN,2018,0.346,0.5999,0.5767627937989664
Canada,CAN,2019,0.3438,0.5995,0.5734778982485405
Canada,CAN,2020,0.3518,0.6022000000000001,0.584191298571903
Canada,CAN,2021,0.3622,0.6065,0.5971970321516901
Canada,CAN,2022,0.3678,0.5979,0.6151530356246865
Canada,CAN,2023,0.3678,0.5979,0.6151530356246865
Canada,CAN,2024,0.3678,0.5979,0.6151530356246865
Switzerland,CHE,2000,0.3242,0.5952000000000001,0.5446908602150536
Switzerland,CHE,2001,0.3141,0.5953,0.5276331261548798
Switzerland,CHE,2002,0.3049,0.5917,0.51529491296265
Switzerland,CHE,2003,0.3242,0.5855,0.5537147736976943
Switzerland,CHE,2004,0.3303,0.5807,0.5687962803513001
Switzerland,CHE,2005,0.3429,0.5862,0.5849539406345956
Switzerland,CHE,2006,0.3502,0.5894,0.5941635561588056
Switzerland,CHE,2007,0.3362,0.5988,0.5614562458249833
Switzerland,CHE,2008,0.3108,0.5964,0.5211267605633803
Switzerland,CHE,2009,0.3175,0.5935,0.5349620893007582
Switzerland,CHE,2010,0.339,0.5974,0.5674589889521259
Switzerland,CHE,2011,0.3398,0.5971000000000001,0.56908390554346
Switzerland,CHE,2012,0.3299,0.6011000000000001,0.5488271502245883
Switzerland,CHE,2013,0.3311,0.6089,0.5437674494990967
Switzerland,CHE,2014,0.3289,0.6177,0.5324591225514004
Switzerland,CHE,2015,0.3272,0.6229,0.5252849574570557
Switzerland,CHE,2016,0.3255,0.6251,0.5207166853303472
Switzerland,CHE,2017,0.3215,0.6286,0.5114540248170537
Switzerland,CHE,2018,0.3124,0.6288,0.49681933842239184
Switzerland,CHE,2019,0.3084,0.6252,0.49328214971209217
Switzerland,CHE,2020,0.3084,0.6219,0.49589966232513266
Switzerland,CHE,2021,0.3104,0.6254000000000001,0.49632235369363603
Switzerland,CHE,2022,0.3201,0.628,0.5097133757961784
Switzerland,CHE,2023,0.3146,0.6277,0.5011948382985503
Switzerland,CHE,2024,0.3146,0.6279,0.5010351966873706
Chile,CHL,2000,0.6273000000000001,0.7238,0.8666758773141753
Chile,CHL,2001,0.6188,0.7229,0.855996680038733
Chile,CHL,2002,0.6102000000000001,0.7216,0.8456208425720622
Chile,CHL,2003,0.6016,0.7194,0.8362524325827078
Chile,CHL,2004,0.6163000000000001,0.7225,0.8530103806228374
Chile,CHL,2005,0.6309,0.7240000000000001,0.8714088397790054
Chile,CHL,2006,0.6455000000000001,0.7263000000000001,0.8887512047363348
Chile,CHL,2007,0.6415000000000001,0.7259,0.8837305413968868
Chile,CHL,2008,0.6374000000000001,0.7245,0.8797791580400277
Chile,CHL,2009,0.6334000000000001,0.7241000000000001,0.8747410578649358
Chile,CHL,2010,0.6581,0.727,0.9052269601100413
Chile,CHL,2011,0.6829000000000001,0.7325,0.9322866894197953
Chile,CHL,2012,0.6718000000000001,0.7298,0.9205261715538504
Chile,CHL,2013,0.6607000000000001,0.7344,0.8996459694989107
Chile,CHL,2014,0.6564,0.7289,0.9005350528193168
Chile,CHL,2015,0.6522,0.7286,0.8951413670052154
Chile,CHL,2016,0.6434000000000001,0.7261000000000001,0.8861038424459441
Chile,CHL,2017,0.6346,0.7255,0.8747070985527223
Chile,CHL,2018,0.6199,0.7234,0.856925628974288
Chile,CHL,2019,0.6052000000000001,0.7207,0.839739142500347
Chile,CHL,2020,0.5905,0.7161000000000001,0.8246055020248568
Chile,CHL,2021,0.5926,0.7189,0.8243149255807484
Chile,CHL,2022,0.5947,0.7191000000000001,0.8270059796968432
Chile,CHL,2023,0.5947,0.7187,0.827466258522332
Chile,CHL,2024,0.5947,0.7200000000000001,0.8259722222222221
Colombia,COL,2000,0.6397,0.7254,0.8818582850840916
Colombia,COL,2001,0.6397,0.7253000000000001,0.8819798703984558
Colombia,COL,2002,0.6397,0.7255,0.881736733287388
Colombia,COL,2003,0.6011000000000001,0.7194,0.8355574089519044
Colombia,COL,2004,0.6224000000000001,0.7230000000000001,0.8608575380359612
Colombia,COL,2005,0.6111,0.7216,0.8468680709534367
Colombia,COL,2006,0.613,0.7219,0.8491480814517246
Colombia,COL,2007,0.6149,0.7220000000000001,0.8516620498614957
Colombia,COL,2008,0.6168,0.7226,0.853584278992527
Colombia,COL,2009,0.6058,0.7209,0.8403384658066306
Colombia,COL,2010,0.6007,0.7193,0.8351174753232309
Colombia,COL,2011,0.6056,0.7206,0.8404107688037746
Colombia,COL,2012,0.5825,0.7139,0.8159406079282813
Colombia,COL,2013,0.5870000000000001,0.7169,0.818803180359883
Colombia,COL,2014,0.5595,0.7031000000000001,0.7957616270800739
Colombia,COL,2015,0.5626,0.7059000000000001,0.7969967417481228
Colombia,COL,2016,0.5670000000000001,0.7078,0.801073749646793
Colombia,COL,2017,0.5897,0.7160000000000001,0.8236033519553072
Colombia,COL,2018,0.596,0.7187,0.8292750800055656
Colombia,COL,2019,0.5969,0.7188,0.830411797440178
Colombia,COL,2020,0.6122000000000001,0.7218,0.8481573843169854
Colombia,COL,2021,0.6092000000000001,0.7218,0.8440011083402605
Colombia,COL,2022,0.6331,0.7241000000000001,0.8743267504488329
Colombia,COL,2023,0.5994,0.7191000000000001,0.8335419274092616
Colombia,COL,2024,0.5994,0.7191000000000001,0.8335419274092616
Czech Republic,CZE,2000,0.3001,0.5616,0.5343660968660968
Czech Republic,CZE,2001,0.302,0.5618000000000001,0.5375578497686009
Czech Republic,CZE,2002,0.2937,0.5614,0.5231563947274671
Czech Republic,CZE,2003,0.2943,0.5615,0.5241317898486197
