feature,importance
cat__country_group_special_case,0.2842180926802309
num__gdp_per_capita_lag5_dm,0.11003999179941613
num__female_labor_force_participation_dm,0.10448924763304909
num__female_labor_force_participation_lag5_dm,0.09874996511201516
num__marriage_rate_dm,0.07026467818977004
num__inflation_lag4_dm,0.06485735814129548
num__marriage_rate_lag2_dm,0.05116366819088714
num__unemployment_total_dm,0.04424519315920003
cat__country_group_developed,0.04121816645242066
num__gdp_per_capita_dm,0.03899004883366251
num__unemployment_total_lag2_dm,0.03467847286016643
cat__country_group_transition,0.030900897125116355
num__inflation_dm,0.026184219822769896
