feature,importance
cat__country_group_special_case,0.2812871737683799
num__gdp_per_capita_lag5_dm,0.10920508664962407
num__female_labor_force_participation_lag5_dm,0.08857395709037862
num__female_labor_force_participation_dm,0.08614783108035459
num__marriage_rate_dm,0.08222978080157044
num__inflation_lag4_dm,0.0681829436830706
num__marriage_rate_lag2_dm,0.05217861450763537
num__unemployment_total_lag2_dm,0.05086606140787654
num__unemployment_total_dm,0.048611207381578196
num__gdp_per_capita_dm,0.04289946311929493
num__inflation_dm,0.0303778407826646
cat__country_group_transition,0.02993363403869463
cat__country_group_developed,0.029506405688877645
